,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,城市,總樓層數_數字
21,桃園區,房地(土地+建物),桃園市桃園區大興西路二段２００之１４號九樓,6.27,都市：其他:住宅區,,,1100719,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921114,60.21,0,0,0,無,有,5200000,86364,,0.0,0,陽台外推；,RPUQMLRKQHGGFAH09DA,35.05,8.3,0.0,有,6.0,Taoyuan,14
22,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２８號十四樓,20.08,都市：其他:住宅區,,,1100117,土地3建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,147.87,3,2,2,有,有,11990000,84014,坡道平面,25.39,1700000,,RPVPMLRKQHGGFAH09DA,72.29,9.11,0.0,有,,Taoyuan,15
23,桃園區,房地(土地+建物)+車位,桃園市桃園區大有路６５２巷１０號八樓,12.55,都市：其他:住宅區,,,1100630,土地1建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860901,126.05000000000001,3,2,2,有,有,6780000,53788,坡道平面,0.0,0,,RPUOMLSKQHGGFAH98DA,73.66,9.76,0.0,有,,Taoyuan,16
25,桃園區,房地(土地+建物),桃園市桃園區縣府路２９４號十一樓之三,45.98,都市：其他:住宅區,,,1100730,土地2建物1車位0,十一層，十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790507,203.41,4,2,3,有,有,10200000,50145,,0.0,0,,RPUQMLSKQHGGFAH56DA,152.06,22.09,0.0,有,,Taoyuan,14
38,中壢區,房地(土地+建物),桃園市中壢區慈惠三街３３號九樓之１５,4.67,都市：其他:商業區,,,1100721,土地1建物1車位0,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901026,46.839999999999996,1,1,1,有,有,3600000,76857,,0.0,0,,RPSRMLMJQHGGFBH48DA,32.82,3.09,0.0,有,12.0,Taoyuan,21
44,中壢區,房地(土地+建物),桃園市中壢區環北路３５２號三樓之１１,3.44,都市：其他:住宅區,,,1100801,土地1建物1車位0,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,41.72,1,1,1,有,有,4300000,103068,,0.0,0,,RPPNMLLKQHGGFBH77DA,28.31,1.83,0.0,有,15.0,Taoyuan,21
45,中壢區,房地(土地+建物)+車位,桃園市中壢區文化路３０６號十三樓之１,20.22,都市：其他:住宅區,,,1100721,土地2建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960626,125.0,3,2,2,有,有,8550000,68400,坡道平面,0.0,0,,RPTOMLLKQHGGFBH28DA,64.5,10.46,0.0,有,,Taoyuan,13
62,中壢區,房地(土地+建物),桃園市中壢區環中東路二段３１２巷１２號十四樓之７,5.81,都市：其他:住宅區,,,1100804,土地1建物1車位0,十四層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880528,60.36,1,1,1,有,無,3580000,59311,,0.0,0,,RPRNMLKLQHGGFBH97DA,38.08,4.54,0.0,有,,Taoyuan,14
77,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區長興路一段４０之３號九樓,16.8,都市：其他:住宅區,,,1100421,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070123,113.39,2,1,1,有,有,7500000,66143,坡道平面,31.11,0,含傢俱設備費；親友、員工、共有人或其他特殊關係間之交易；,RPVRMLKKNHGGFEH68DA,51.2,8.25,0.0,有,30.0,Taoyuan,13
93,大園區,房地(土地+建物)+車位,桃園市大園區高鐵南路一段６２號六樓之６,15.14,都市：其他:住宅區,,,1100717,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060815,125.10999999999999,2,2,1,有,有,11650000,93118,坡道平面,0.0,0,,RPWOMLSKQHGGFEH96DA,51.1,7.19,0.0,有,38.0,Taoyuan,22
100,平鎮區,房地(土地+建物)+車位,桃園市平鎮區莊隆街９號三樓,26.88,都市：其他:住宅區,,,1100710,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031002,170.45999999999998,3,2,2,有,有,8600000,50452,坡道機械,0.0,0,,RPSNMLLLPHGGFGH58DA,84.12,10.35,0.0,有,41.0,Taoyuan,13
102,平鎮區,房地(土地+建物)+車位,桃園市平鎮區環南路三段１２７號九樓之２,25.35,都市：其他:住宅區,,,1100713,土地1建物1車位1,九層，十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890215,214.5,4,2,3,有,有,11550000,53846,坡道平面,0.0,0,,RPXOMLKKQHGGFGH09DA,124.2,19.02,0.0,有,,Taoyuan,14
186,桃園區,房地(土地+建物),桃園市桃園區大興西路二段３５號五樓之二,8.45,都市：其他:住宅區,,,1100803,土地1建物1車位0,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840225,94.22,2,1,1,有,有,5500000,58374,,0.0,0,含土地增值稅或其他稅費117323元；含地政士服務費17000元；親友、員工、共有人或其他特殊關係間之交易；含租約；,RPPNMLTKQHGGFAH58EA,60.75,10.65,0.0,有,,Taoyuan,23
187,桃園區,房地(土地+建物)+車位,桃園市桃園區愛二街８７號六樓,12.93,都市：其他:住宅區,,,1100710,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,108.8,1,1,1,有,有,6250000,57445,坡道平面,0.0,0,,RPVOMLTKQHGGFAH66EA,44.14,7.3,0.0,有,,Taoyuan,13
198,蘆竹區,房地(土地+建物),桃園市蘆竹區中正路２７號十樓之５,4.19,都市：其他:住宅區,,,1100801,土地1建物1車位0,十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860122,58.94,1,1,1,有,有,4830000,81948,,0.0,0,,RPOOMLTKQHGGFEH98EA,39.46,2.12,0.0,有,50.0,Taoyuan,27
203,龜山區,房地(土地+建物)+車位,桃園市龜山區文學路２４１號六樓之５,22.53,都市：其他:第五種住宅區(供合宜住宅使用),,,1100722,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,183.38,4,2,2,有,有,13000000,70891,坡道平面,0.0,0,,RPSOMLKLQHGGFHH88EA,102.93,9.12,0.0,有,,Taoyuan,24
205,八德區,房地(土地+建物)+車位,桃園市八德區豐德路２０６號四樓,19.93,都市：其他:第二種住宅區,,,1100416,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030819,115.69,2,2,1,有,有,6700000,56651,坡道平面,20.37,1300000,,RPSNMLNLQHGGFFH88EA,54.75,9.4,0.0,有,51.0,Taoyuan,15
